,wellName,MD,CALI,GR,RHOB,NPHI,RACEHM_l10,RACELM_l10,RPCEHM_l10,RPCELM_l10,PHIF,SW,VSH
129,15/9-F-1 A,3443.9,8.5781,35.1927,2.3246,0.21600000000000003,-0.23069653981091828,-0.19688444510997305,-0.23069653981091828,-0.23358715288760054,0.1859,0.8891,0.2079
130,15/9-F-1 A,3444.0,8.5781,34.7782,2.3214,0.2149,-0.2590849235187175,-0.21524010533599505,-0.22944252514900493,-0.23889946104185772,0.1878,0.8808,0.2046
131,15/9-F-1 A,3444.1,8.5781,35.1045,2.3212,0.2142,-0.30777016422724435,-0.23202827861838118,-0.21573941743391617,-0.23942674605560582,0.1879,0.8696,0.2072
132,15/9-F-1 A,3444.2,8.5782,36.2419,2.3223,0.2146,-0.32753268693191795,-0.2459576132145636,-0.1953154850930596,-0.24382048315619084,0.1873,0.857,0.2163
133,15/9-F-1 A,3444.3,8.6249,33.7751,2.3215,0.2116,-0.32111758532926427,-0.25924267669222945,-0.1774396630573078,-0.25703932978584754,0.1877,0.8375,0.1966
134,15/9-F-1 A,3444.4,8.5781,33.1188,2.3162,0.2133,-0.3172233536855659,-0.2735988378970776,-0.18296377394997113,-0.2753964846032833,0.1907,0.8305,0.1914
135,15/9-F-1 A,3444.5,8.5781,33.0691,2.3069,0.2119,-0.34640161815671017,-0.2911543619518211,-0.20648899420714212,-0.29370904274123666,0.1961,0.8313,0.1911
136,15/9-F-1 A,3444.6,8.5781,31.4745,2.2966,0.2121,-0.38827669199265824,-0.3075937651663695,-0.23679669962922836,-0.30962669308394086,0.2019,0.8337,0.1784
137,15/9-F-1 A,3444.7,8.5781,30.3489,2.2877,0.2147,-0.40660315769979327,-0.31434781588447563,-0.31479586552898536,-0.34055921812968226,0.207,0.8786,0.1694
138,15/9-F-1 A,3444.8,8.5779,30.1747,2.2804,0.2239,-0.3110465373625821,-0.2965366581167069,-0.39891827221597675,-0.3698773571406879,0.2112,0.9364,0.1681
139,15/9-F-1 A,3444.9,8.5,28.2928,2.2737,0.2288,-0.17308335281507956,-0.27351730321517037,-0.38510278396686537,-0.3797598101541686,0.215,0.9091,0.1531
140,15/9-F-1 A,3445.0,8.5,27.3723,2.2672,0.2342,-0.17704775945251836,-0.27270279719641255,-0.3523236867591291,-0.37355697466870535,0.2187,0.8689,0.1458
141,15/9-F-1 A,3445.1,8.5001,26.7575,2.2624,0.2378,-0.31273865375649357,-0.2986911147719247,-0.3157832048611195,-0.34189316449360707,0.2215,0.8308,0.141
142,15/9-F-1 A,3445.2,8.547,25.7825,2.2621,0.2444,-0.42562143558691756,-0.32403845035783063,-0.3022477258322454,-0.3136318965269638,0.2217,0.8186,0.1331
