wellName,MD,BS,CALI,DT,DTS,GR,NPHI,RACEHM,RACELM,RHOB,RPCEHM,RPCELM,PHIF,SW,VSH
15/9-F-11 B,4423.6,8.5,8.672,,,39.655,0.213,2.067,1.92,2.462,2.256,2.042,0.119,0.812,0.301
15/9-F-11 B,4423.7,8.5,8.693,,,40.152,0.209,2.093,1.926,2.444,2.376,2.099,0.13,0.727,0.306
15/9-F-11 B,4423.8,8.5,8.703,,,40.449,0.206,2.091,1.924,2.422,2.493,2.122,0.143,0.643,0.308
15/9-F-11 B,4423.9,8.5,8.703,,,39.508,0.206,2.12,1.929,2.408,2.414,2.111,0.152,0.616,0.3
15/9-F-11 B,4424,8.5,8.75,,,39.093,0.206,2.158,1.954,2.409,2.362,2.115,0.151,0.625,0.296
15/9-F-11 B,4424.1,8.5,8.75,,,37.839,0.213,2.185,1.966,2.424,2.257,2.1,0.142,0.681,0.286
15/9-F-11 B,4424.2,8.5,8.719,,,36.869,0.224,2.177,1.948,2.444,2.739,2.192,0.13,0.675,0.277
15/9-F-11 B,4424.3,8.5,8.703,,,35.956,0.227,2.252,1.904,2.459,3.638,2.399,0.121,0.631,0.269
15/9-F-11 B,4424.4,8.5,8.703,,,35.726,0.228,2.254,1.915,2.468,3.57,2.421,0.116,0.664,0.267
15/9-F-11 B,4424.5,8.5,8.703,,,35.211,0.228,2.231,1.928,2.471,3.505,2.388,0.114,0.68,0.263
15/9-F-11 B,4424.6,8.5,8.703,,,35.857,0.231,2.24,1.946,2.471,3.242,2.374,0.114,0.711,0.268
15/9-F-11 B,4424.7,8.5,8.703,,,37.287,0.235,2.231,1.97,2.47,3.171,2.345,0.115,0.712,0.281
15/9-F-11 B,4424.8,8.5,8.672,,,35.584,0.237,2.241,1.981,2.463,3.145,2.357,0.119,0.69,0.266
15/9-F-11 B,4424.9,8.5,8.688,,,36.519,0.231,2.231,1.984,2.453,3.22,2.404,0.125,0.649,0.274
15/9-F-11 B,4425,8.5,8.703,,,36.548,0.225,2.237,1.986,2.446,3.269,2.419,0.129,0.625,0.274
15/9-F-11 B,4425.1,8.5,8.703,,,36.861,0.22,2.232,1.993,2.449,3.269,2.417,0.127,0.633,0.277
15/9-F-11 B,4425.2,8.5,8.703,,,35.06,0.217,2.191,2.007,2.459,3.13,2.391,0.121,0.678,0.261
15/9-F-11 B,4425.3,8.5,8.703,,,34.116,0.219,2.176,2.018,2.468,3.001,2.347,0.115,0.727,0.253
15/9-F-11 B,4425.4,8.5,8.703,,,35.738,0.22,2.175,2.042,2.472,2.637,2.282,0.113,0.791,0.267
15/9-F-11 B,4425.5,8.5,8.703,,,35.926,0.219,2.13,2.049,2.468,2.433,2.188,0.116,0.806,0.269
15/9-F-11 B,4425.6,8.5,8.703,,,36.976,0.215,2.123,2.055,2.458,2.355,2.155,0.121,0.781,0.278
15/9-F-11 B,4425.7,8.5,8.672,,,39.166,0.211,2.15,2.044,2.446,2.356,2.16,0.129,0.737,0.297
15/9-F-11 B,4425.8,8.5,8.672,,,39.41,0.206,2.173,2.028,2.434,2.484,2.19,0.136,0.677,0.299
15/9-F-11 B,4425.9,8.5,8.672,,,40.488,0.203,2.198,2.026,2.42,2.601,2.235,0.145,0.623,0.309
15/9-F-11 B,4426,8.5,8.672,,,41.316,0.201,2.235,2.029,2.406,2.658,2.259,0.153,0.584,0.316
15/9-F-11 B,4426.1,8.5,8.649,,,40.064,0.204,2.239,2.03,2.396,2.684,2.269,0.159,0.558,0.305
15/9-F-11 B,4426.2,8.5,8.672,,,39.391,0.203,2.25,2.028,2.39,2.797,2.306,0.163,0.534,0.299
15/9-F-11 B,4426.3,8.5,8.672,,,38.709,0.205,2.254,2.024,2.391,2.933,2.354,0.162,0.523,0.293
15/9-F-11 B,4426.4,8.5,8.649,,,38.715,0.205,2.265,2.02,2.399,3.042,2.391,0.157,0.53,0.293
15/9-F-11 B,4426.5,8.5,8.672,,,38.374,0.204,2.289,2.021,2.414,3.148,2.424,0.148,0.552,0.29
15/9-F-11 B,4426.6,8.5,8.625,,,36.97,0.205,2.305,2.025,2.431,3.044,2.405,0.138,0.603,0.278
15/9-F-11 B,4426.7,8.5,8.625,,,37.33,0.203,2.314,2.024,2.442,2.966,2.382,0.131,0.642,0.281
15/9-F-11 B,4426.8,8.5,8.641,,,38.939,0.196,2.314,2.028,2.443,2.878,2.355,0.131,0.656,0.295
15/9-F-11 B,4426.9,8.5,8.672,,,38.881,0.193,2.315,2.029,2.437,2.956,2.378,0.134,0.63,0.295
15/9-F-11 B,4427,8.5,8.672,,,38.674,0.189,2.313,2.027,2.43,2.989,2.389,0.138,0.607,0.293
15/9-F-11 B,4427.1,8.5,8.684,,,39.985,0.184,2.301,2.018,2.429,3.102,2.423,0.139,0.593,0.304
15/9-F-11 B,4427.2,8.5,8.703,,,39.912,0.184,2.249,2.005,2.436,3.276,2.46,0.135,0.595,0.304
15/9-F-11 B,4427.3,8.5,8.735,,,39.273,0.183,2.213,1.998,2.446,3.414,2.479,0.129,0.611,0.298
15/9-F-11 B,4427.4,8.5,8.766,,,37.76,0.182,2.185,1.988,2.453,3.613,2.532,0.125,0.613,0.285
15/9-F-11 B,4427.5,8.5,8.781,,,37.454,0.183,2.195,1.987,2.453,3.539,2.524,0.125,0.62,0.282
15/9-F-11 B,4427.6,8.5,8.781,,,37.163,0.182,2.19,1.988,2.449,3.596,2.519,0.127,0.604,0.28
15/9-F-11 B,4427.7,8.5,8.781,,,36.456,0.179,2.152,1.972,2.446,3.553,2.493,0.129,0.597,0.273
15/9-F-11 B,4427.8,8.5,8.75,,,36.839,0.178,2.102,1.964,2.448,3.456,2.45,0.128,0.611,0.277
15/9-F-11 B,4427.9,8.5,8.727,,,36.979,0.178,2.017,1.943,2.458,3.384,2.414,0.122,0.648,0.278
15/9-F-11 B,4428,8.5,8.75,,,37.516,0.173,1.971,1.937,2.472,3.293,2.358,0.113,0.708,0.283
15/9-F-11 B,4428.1,8.5,8.769,,,37.973,0.17,1.959,1.935,2.484,3.127,2.313,0.106,0.775,0.287
15/9-F-11 B,4428.2,8.5,8.781,,,39.943,0.17,1.963,1.936,2.488,2.981,2.258,0.104,0.812,0.304
15/9-F-11 B,4428.3,8.5,8.781,,,40.19,0.171,1.958,1.926,2.485,2.882,2.214,0.106,0.812,0.306
15/9-F-11 B,4428.4,8.5,8.781,,,39.143,0.173,1.979,1.927,2.478,2.698,2.154,0.11,0.807,0.297
15/9-F-11 B,4428.5,8.5,8.781,,,37.509,0.174,2.014,1.928,2.471,2.571,2.107,0.114,0.797,0.283
15/9-F-11 B,4428.6,8.5,8.781,,,37.223,0.176,2.032,1.919,2.468,2.522,2.077,0.116,0.79,0.28
15/9-F-11 B,4428.7,8.5,8.781,,,36.959,0.178,2.021,1.918,2.469,2.452,2.054,0.115,0.809,0.278
15/9-F-11 B,4428.8,8.5,8.781,,,35.978,0.18,1.985,1.912,2.477,2.392,2.017,0.11,0.853,0.269
15/9-F-11 B,4428.9,8.5,8.781,,,36.184,0.182,1.938,1.908,2.489,2.3,1.969,0.103,0.932,0.271
15/9-F-11 B,4429,8.5,8.769,,,35.968,0.185,1.913,1.902,2.503,2.229,1.937,0.095,1,0.269
15/9-F-11 B,4429.1,8.5,8.781,,,36.547,0.185,1.898,1.898,2.513,2.17,1.905,0.089,1,0.274
15/9-F-11 B,4429.2,8.5,8.816,,,36.321,0.184,1.9,1.896,2.516,2.138,1.879,0.087,1,0.272
15/9-F-11 B,4429.3,8.5,8.828,,,36.269,0.188,1.89,1.889,2.514,2.158,1.89,0.088,1,0.272
15/9-F-11 B,4429.4,8.5,8.828,,,35.755,0.191,1.882,1.885,2.512,2.199,1.889,0.089,1,0.268
15/9-F-11 B,4429.5,8.5,8.851,,,34.708,0.189,1.884,1.883,2.512,2.185,1.883,0.089,1,0.258
15/9-F-11 B,4429.6,8.5,8.828,,,34.759,0.191,1.876,1.89,2.513,2.219,1.872,0.088,1,0.259
15/9-F-11 B,4429.7,8.5,8.797,,,34.42,0.191,1.873,1.906,2.515,2.065,1.847,0.087,1,0.256
15/9-F-11 B,4429.8,8.5,8.781,,,34.683,0.19,1.87,1.916,2.517,1.991,1.842,0.086,1,0.258
15/9-F-11 B,4429.9,8.5,8.766,,,35.11,0.191,1.886,1.931,2.52,1.996,1.835,0.085,1,0.262
15/9-F-11 B,4430,8.5,8.75,,,34.679,0.196,1.925,1.945,2.52,2.07,1.875,0.084,1,0.258
15/9-F-11 B,4430.1,8.5,8.75,,,34.63,0.2,1.943,1.96,2.519,2.031,1.884,0.085,1,0.258
15/9-F-11 B,4430.2,8.5,8.75,,,34.187,0.204,1.968,1.977,2.518,2.026,1.864,0.086,1,0.254
15/9-F-11 B,4430.3,8.5,8.75,,,33.983,0.207,1.888,1.974,2.519,2.026,1.882,0.085,1,0.252
15/9-F-11 B,4430.4,8.5,8.75,,,34.409,0.208,1.873,1.963,2.524,2.087,1.924,0.082,1,0.256
15/9-F-11 B,4430.5,8.5,8.781,,,34.247,0.207,1.955,2.007,2.528,2.024,1.896,0.079,1,0.254
15/9-F-11 B,4430.6,8.5,8.781,,,32.833,0.208,1.959,2.015,2.53,2.04,1.924,0.078,1,0.242
15/9-F-11 B,4430.7,8.5,8.781,,,33.521,0.21,1.982,2.024,2.53,2.099,1.946,0.078,1,0.248
15/9-F-11 B,4430.8,8.5,8.781,,,33.701,0.213,1.982,2.023,2.529,2.086,1.937,0.079,1,0.25
15/9-F-11 B,4430.9,8.5,8.766,,,34.474,0.218,1.989,2.004,2.528,2.165,1.958,0.08,1,0.256
15/9-F-11 B,4431,8.5,8.75,,,33.925,0.222,2.009,1.988,2.527,2.237,1.96,0.08,1,0.252
15/9-F-11 B,4431.1,8.5,8.715,,,32.646,0.227,2.033,1.992,2.527,2.234,1.958,0.08,1,0.24
15/9-F-11 B,4431.2,8.5,8.703,,,33.442,0.23,2.041,1.996,2.528,2.229,1.946,0.079,1,0.247
15/9-F-11 B,4431.3,8.5,8.703,,,33.275,0.233,2.041,1.99,2.531,2.245,1.961,0.078,1,0.246
15/9-F-11 B,4431.4,8.5,8.672,,,32.687,0.237,2.042,1.976,2.534,2.248,1.943,0.076,1,0.241
15/9-F-11 B,4431.5,8.5,8.682,,,33.198,0.235,2.179,2.006,2.539,2.111,1.89,0.073,1,0.245
15/9-F-11 B,4431.6,8.5,8.715,,,33.653,0.235,2.241,2.014,2.544,1.981,1.832,0.07,1,0.249
15/9-F-11 B,4431.7,8.5,8.75,,,34.415,0.235,2.049,1.968,2.553,2.067,1.861,0.064,1,0.256
15/9-F-11 B,4431.8,8.5,8.781,,,34.086,0.24,1.937,1.945,2.568,2.147,1.864,0.055,1,0.253
15/9-F-11 B,4431.9,8.5,8.75,,,34.542,0.25,1.879,1.931,2.588,2.183,1.862,0.044,1,0.257
15/9-F-11 B,4432,8.5,8.75,,,31.943,0.255,1.933,1.914,2.607,2.25,1.875,0.032,1,0.234
15/9-F-11 B,4432.1,8.5,8.75,,,31.318,0.258,2.011,1.909,2.622,2.171,1.871,0.023,1,0.229
15/9-F-11 B,4432.2,8.5,8.712,,,31.765,0.262,2.013,1.918,2.634,2.131,1.866,0.02,1,0.233
15/9-F-11 B,4432.3,8.5,8.703,,,31.779,0.267,1.966,1.922,2.646,2.099,1.819,0.02,1,0.233
15/9-F-11 B,4432.4,8.5,8.75,,,31.42,0.271,2.112,1.979,2.661,1.747,1.673,0.02,1,0.23
