,Unnamed: 0,wellName,MD,SW,PredictedSw,VSH,PredictedVSH,PHIF,PredictedPHIF
7001,25690,15/9-F-11 B,4528.6,0.163,0.106418945,0.15,0.14866374,0.25,0.24820857
7002,25691,15/9-F-11 B,4528.7,0.159,0.10593178,0.165,0.16420081,0.254,0.24952863
7003,25692,15/9-F-11 B,4528.8,0.156,0.107269816,0.17600000000000002,0.17566639,0.255,0.24925917
7004,25693,15/9-F-11 B,4528.9,0.156,0.1097986,0.173,0.1716536,0.253,0.2475251
7005,25694,15/9-F-11 B,4529.0,0.156,0.108806364,0.171,0.17018667,0.252,0.2482324
7006,25695,15/9-F-11 B,4529.1,0.156,0.11425575,0.182,0.18073377,0.25,0.2469597
7007,25696,15/9-F-11 B,4529.2,0.158,0.11565944,0.174,0.17250583,0.247,0.24626516
7008,25697,15/9-F-11 B,4529.3,0.159,0.113817476,0.16399999999999998,0.16302612,0.246,0.24628149
7009,25698,15/9-F-11 B,4529.4,0.16,0.11777135,0.179,0.17758779,0.246,0.24608465
7010,25699,15/9-F-11 B,4529.5,0.163,0.117488034,0.171,0.16972262,0.248,0.24652624
7011,25700,15/9-F-11 B,4529.6,0.163,0.11647382,0.171,0.16989703,0.249,0.2471691
7012,25701,15/9-F-11 B,4529.7,0.165,0.11808177,0.171,0.16961087,0.249,0.24709794
7013,25702,15/9-F-11 B,4529.8,0.163,0.119276725,0.16899999999999998,0.16792858,0.247,0.24633689
7014,25703,15/9-F-11 B,4529.9,0.16399999999999998,0.11930791,0.162,0.16057374,0.244,0.24565697
7015,25704,15/9-F-11 B,4530.0,0.16899999999999998,0.12808457,0.171,0.16916612,0.241,0.24261537
7016,25705,15/9-F-11 B,4530.1,0.17,0.1304355,0.16399999999999998,0.16229297,0.239,0.24100989
7017,25706,15/9-F-11 B,4530.2,0.172,0.13639888,0.17600000000000002,0.17325817,0.237,0.23935154
7018,25707,15/9-F-11 B,4530.3,0.174,0.13844517,0.174,0.17195784,0.237,0.23978564
7019,25708,15/9-F-11 B,4530.4,0.172,0.13983682,0.17800000000000002,0.17559391,0.238,0.2405534
7020,25709,15/9-F-11 B,4530.5,0.179,0.1428136,0.184,0.18200356,0.239,0.24101417
7021,25710,15/9-F-11 B,4530.6,0.185,0.14446282,0.181,0.17843683,0.24,0.24086227
7022,25711,15/9-F-11 B,4530.7,0.194,0.14938259,0.185,0.1829719,0.239,0.23979709
7023,25712,15/9-F-11 B,4530.8,0.188,0.15644449,0.199,0.19708623,0.237,0.23726687
7024,25713,15/9-F-11 B,4530.9,0.18,0.14972186,0.195,0.19257443,0.239,0.23944902
7025,25714,15/9-F-11 B,4531.0,0.17600000000000002,0.14461678,0.19,0.1883083,0.241,0.24039577
7026,25715,15/9-F-11 B,4531.1,0.16899999999999998,0.13862711,0.193,0.1912871,0.247,0.24386999
7027,25716,15/9-F-11 B,4531.2,0.162,0.12985566,0.208,0.20820168,0.254,0.2490901
7028,25717,15/9-F-11 B,4531.3,0.16399999999999998,0.12754193,0.204,0.20387559,0.258,0.2507348
7029,25718,15/9-F-11 B,4531.4,0.16399999999999998,0.12856188,0.207,0.20695293,0.258,0.25057763
7030,25719,15/9-F-11 B,4531.5,0.162,0.12989226,0.213,0.21321249,0.257,0.24958053
7031,25720,15/9-F-11 B,4531.6,0.16,0.13104999,0.22,0.21964714,0.256,0.24878114
7032,25721,15/9-F-11 B,4531.7,0.153,0.1279284,0.214,0.21422243,0.255,0.24887943
7033,25722,15/9-F-11 B,4531.8,0.15,0.12644017,0.213,0.21219742,0.252,0.24811924
7034,25723,15/9-F-11 B,4531.9,0.145,0.12166215,0.214,0.21407855,0.25,0.24846564
