,Unnamed: 0,wellName,MD,SW,PredictedSw
254,14319,15/9-F-11 B,3391.5,1.0,0.9119974
255,14320,15/9-F-11 B,3391.6,1.0,0.91798013
256,14321,15/9-F-11 B,3391.7,1.0,0.9250161
257,14322,15/9-F-11 B,3391.8,1.0,0.91749245
258,14323,15/9-F-11 B,3391.9,1.0,0.9056071
259,14324,15/9-F-11 B,3392.0,1.0,0.90838295
260,14325,15/9-F-11 B,3392.1,1.0,0.899485
261,14326,15/9-F-11 B,3392.2,1.0,0.896717
262,14327,15/9-F-11 B,3392.3,1.0,0.8963189
263,14328,15/9-F-11 B,3392.4,1.0,0.9092472
264,14334,15/9-F-11 B,3393.0,1.0,0.90768355
265,14335,15/9-F-11 B,3393.1,1.0,0.90599245
266,14336,15/9-F-11 B,3393.2,1.0,0.9005391
267,14337,15/9-F-11 B,3393.3,1.0,0.8895131
268,14338,15/9-F-11 B,3393.4,1.0,0.8813837
269,14344,15/9-F-11 B,3394.0,1.0,0.89807945
270,14356,15/9-F-11 B,3395.2,1.0,0.8359121
271,14357,15/9-F-11 B,3395.3,1.0,0.8320282
272,14358,15/9-F-11 B,3395.4,1.0,0.82359236
273,14359,15/9-F-11 B,3395.5,1.0,0.81783336
274,14360,15/9-F-11 B,3395.6,1.0,0.8145878
275,14361,15/9-F-11 B,3395.7,1.0,0.8197544
276,14363,15/9-F-11 B,3395.9,1.0,0.81260234
277,14364,15/9-F-11 B,3396.0,1.0,0.8125751
278,14365,15/9-F-11 B,3396.1,1.0,0.81538534
279,14366,15/9-F-11 B,3396.2,1.0,0.81756186
280,14367,15/9-F-11 B,3396.3,1.0,0.8085098
281,14368,15/9-F-11 B,3396.4,1.0,0.80654794
282,14372,15/9-F-11 B,3396.8,1.0,0.79921836
283,14373,15/9-F-11 B,3396.9,1.0,0.80390495
284,14374,15/9-F-11 B,3397.0,1.0,0.804331
285,14375,15/9-F-11 B,3397.1,1.0,0.8045103
286,14376,15/9-F-11 B,3397.2,1.0,0.8024365
287,14377,15/9-F-11 B,3397.3,1.0,0.80785173
288,14378,15/9-F-11 B,3397.4,1.0,0.80658764
289,14379,15/9-F-11 B,3397.5,1.0,0.80923766
290,14380,15/9-F-11 B,3397.6,1.0,0.8111488
291,14381,15/9-F-11 B,3397.7,1.0,0.7971242
292,14382,15/9-F-11 B,3397.8,1.0,0.78889155
293,14383,15/9-F-11 B,3397.9,1.0,0.7854995
294,14384,15/9-F-11 B,3398.0,1.0,0.7808824
295,14385,15/9-F-11 B,3398.1,1.0,0.7827236
296,14386,15/9-F-11 B,3398.2,1.0,0.79413897
297,14387,15/9-F-11 B,3398.3,1.0,0.8015461
298,14388,15/9-F-11 B,3398.4,1.0,0.80604345
299,14392,15/9-F-11 B,3398.8,1.0,0.79304844
300,14393,15/9-F-11 B,3398.9,1.0,0.785181
301,14394,15/9-F-11 B,3399.0,1.0,0.7878416
302,14395,15/9-F-11 B,3399.1,1.0,0.79517335
303,14396,15/9-F-11 B,3399.2,1.0,0.7943362
304,14397,15/9-F-11 B,3399.3,1.0,0.8000546
305,14398,15/9-F-11 B,3399.4,1.0,0.80337554
306,14399,15/9-F-11 B,3399.5,1.0,0.8066186
307,14400,15/9-F-11 B,3399.6,1.0,0.82067174
308,14401,15/9-F-11 B,3399.7,1.0,0.8307827
309,14402,15/9-F-11 B,3399.8,1.0,0.82497376
310,14403,15/9-F-11 B,3399.9,1.0,0.81250066
311,14404,15/9-F-11 B,3400.0,1.0,0.81449956
312,14405,15/9-F-11 B,3400.1,1.0,0.80559736
313,14406,15/9-F-11 B,3400.2,1.0,0.7923787
314,14407,15/9-F-11 B,3400.3,1.0,0.78540677
315,14408,15/9-F-11 B,3400.4,1.0,0.7763825
316,14409,15/9-F-11 B,3400.5,1.0,0.76943094
317,14410,15/9-F-11 B,3400.6,1.0,0.7708667
318,14411,15/9-F-11 B,3400.7,1.0,0.7763468
319,14412,15/9-F-11 B,3400.8,1.0,0.77206415
320,14413,15/9-F-11 B,3400.9,1.0,0.7678122
321,14414,15/9-F-11 B,3401.0,1.0,0.7563614
322,14415,15/9-F-11 B,3401.1,1.0,0.75652415
323,14416,15/9-F-11 B,3401.2,1.0,0.7563759
324,14417,15/9-F-11 B,3401.3,1.0,0.7485028
325,14418,15/9-F-11 B,3401.4,1.0,0.74030674
326,14419,15/9-F-11 B,3401.5,1.0,0.73089415
327,14420,15/9-F-11 B,3401.6,1.0,0.72429675
328,14421,15/9-F-11 B,3401.7,1.0,0.7219353
329,14422,15/9-F-11 B,3401.8,1.0,0.7146365
330,14423,15/9-F-11 B,3401.9,1.0,0.7085796
331,14424,15/9-F-11 B,3402.0,1.0,0.7061447
