,wellName,MD,CALI,GR,RHOB,NPHI,RACEHM_l10,RACELM_l10,RPCEHM_l10,RPCELM_l10
9955,15/9-F-1 C,3815.3,8.5569,38.9421,2.2478,0.1955,0.6738223671530482,0.7361733211702866,0.7017406324372125,0.6937533222816645
7506,15/9-F-1 C,3570.4,8.5569,45.1837,2.3353,0.1958,0.703987411212198,0.6071653970072668,0.7520945651387644,0.6720424125478213
3717,15/9-F-1 B,3391.6,8.6976,60.7748,2.5367,0.1568,0.23894889831176155,0.20515020914018084,0.283414311501195,0.2603576416361522
522,15/9-F-1 A,3483.2,8.625,48.9501,2.3262,0.2044,-0.27043027369803013,-0.24703013497091578,-0.36572430537405604,-0.32799455497704816
1666,15/9-F-1 A,3597.6,8.625,52.1023,2.3715,0.183,-0.08207457793525885,0.014436527831672145,-0.2539109569437998,-0.13300418688935214
21519,15/9-F-11 B,4111.5,8.641,19.313,2.219,0.192,1.07059193151204,0.6945174538111563,1.8073726446375715,1.2043913319192998
26398,15/9-F-11 B,4599.4,8.648,11.36,2.312,0.155,0.5664374921950703,0.6639834546082667,0.34927752746795526,0.4620983811351558
13597,15/9-F-11 A,3689.4,8.625,32.461,2.221,0.19899999999999998,0.6209684356442897,0.6101276130759954,0.7183355789085066,0.6677329591968116
16953,15/9-F-11 B,3654.9,8.625,46.614,2.2969999999999997,0.225,0.563836918664545,0.5715923833613071,0.7442147248141658,0.6143698395482887
7020,15/9-F-1 C,3521.8,8.5243,30.2027,2.1779,0.2148,0.9855746568443903,0.9317069845872046,1.0758388259746872,1.0464795559865996
2069,15/9-F-1 A,3637.9,8.6719,65.0423,2.5049,0.1026,0.2664433812962738,0.28370818904746536,0.1811286997472952,0.22904157317339702
13035,15/9-F-11 A,3633.2,8.625,28.799,2.193,0.2,0.6453240015622933,0.5948343555833179,0.8433573784379556,0.7394141026986952
27546,15/9-F-11 B,4714.2,8.672,19.2,2.3369999999999997,0.12300000000000001,0.12936759572298562,0.029383777685209667,0.0398105541483503,0.09377178149872979
14764,15/9-F-11 B,3436.0,8.625,63.026,2.555,0.294,0.18582535961296218,0.2182728535714475,0.22141423784233868,0.1863912156954932
20347,15/9-F-11 B,3994.3,8.672,24.476,2.26,0.183,1.7517331816690658,1.8234350365635175,1.480409413545738,1.5212557981813228
19174,15/9-F-11 B,3877.0,8.782,40.51,2.568,0.231,0.34811006848023773,0.36323580448369386,0.3242824552976926,0.32035403281767183
10076,15/9-F-1 C,3827.4,8.5568,40.8074,2.2578,0.1988,0.8512705821941512,0.7985401590281105,0.889195217257183,0.8642915051249562
13718,15/9-F-11 A,3701.5,8.625,50.468,2.25,0.256,0.09760432887441088,0.17897694729316943,0.04296907339318013,0.10209052551183669
934,15/9-F-1 A,3524.4,8.625,64.0277,2.3918,0.1697,0.12788194348462506,0.08361010516231046,0.11574360835995784,0.08073468635314308
592,15/9-F-1 A,3490.2,8.7031,39.838,2.5903,0.1024,0.21942733450768134,0.11597642945481758,0.4825448811864358,0.3026122845990933
14453,15/9-F-11 B,3404.9,8.625,36.872,2.477,0.26,0.44012160318780386,0.42699895875653726,0.3900514964589873,0.4008832155483627
6181,15/9-F-1 C,3437.9,8.622,49.0759,2.3801,0.2295,-0.20816905232516383,-0.12096149476276294,-0.060081579630943266,-0.1180450286603995
26435,15/9-F-11 B,4603.1,8.649,21.871,2.2769999999999997,0.174,0.6695957810243133,0.6923180442592787,0.6268534146667257,0.6501131644435715
2310,15/9-F-1 B,3250.9,8.6633,29.3115,2.4323,0.1434,0.4602511794543625,0.4716436990413862,0.4185664283743194,0.44415413687836475
25790,15/9-F-11 B,4538.6,8.672,24.761,2.177,0.198,1.0985052832013156,0.8185557792978027,1.3404441148401183,1.0882778759959353
5502,15/9-F-1 C,3370.0,8.6056,60.4834,2.5802,0.1456,0.4692180004206315,0.254137030885468,0.720448736593546,0.5032048755206497
11516,15/9-F-1 C,3971.4,8.5569,24.5337,2.4296,0.1627,1.0083829702160534,0.8680269370808709,1.1053262093212635,1.0632770509176275
2501,15/9-F-1 B,3270.0,8.6637,60.0914,2.5704,0.185,0.2538224387080733,0.5154499349597179,-0.21027830601907818,0.07254398564364765
9856,15/9-F-1 C,3805.4,8.5569,43.5304,2.3382,0.1741,0.927426827917875,0.9586212120428419,0.9458328064170457,0.9489652639567759
1054,15/9-F-1 A,3536.4,8.6249,25.8279,2.5245,0.124,0.1507257465861945,0.12037647974443398,0.1762938825387664,0.1511552551509173
25093,15/9-F-11 B,4468.9,8.703,56.068000000000005,2.763,0.265,0.39357520326958756,0.3639878297484914,0.7255032688593156,0.4104397862103466
26189,15/9-F-11 B,4578.5,8.672,9.907,2.244,0.163,0.7058637122839193,0.555578072772955,0.6936390261615483,0.6368889069837991
6735,15/9-F-1 C,3493.3,8.5243,24.5756,2.2011,0.1806,0.5494079242295544,0.4563204753743739,0.6451667268398635,0.570297704415911
24955,15/9-F-11 B,4455.1,8.781,49.808,2.523,0.166,0.1961761850399733,0.24821856119007474,0.15563963375977638,0.18412335423967113
13099,15/9-F-11 A,3639.6,8.672,39.967,2.2840000000000003,0.21899999999999997,0.35945602012098665,0.3590762260592629,0.6004283257321311,0.4334497937615961
24356,15/9-F-11 B,4395.2,8.703,48.051,2.509,0.19699999999999998,0.13481437032046015,0.12872228433842678,0.18012587516405396,0.12968989219930105
559,15/9-F-1 A,3486.9,8.6719,36.1492,2.6377,0.0829,0.6852937813867841,0.38874044452461115,1.1947751177678276,0.8211137673492857
16830,15/9-F-11 B,3642.6,8.625,37.551,2.356,0.18,0.775683321820956,0.6376898191184012,1.0649070271596361,0.8138477542288542
10269,15/9-F-1 C,3846.7,8.5569,40.4613,2.334,0.1726,0.6760164969650907,0.7323857172580944,0.7315565343446219,0.7116469743291608
890,15/9-F-1 A,3520.0,8.6875,60.9898,2.5358,0.1727,0.3501704588229461,0.2536529484835641,0.3943115632312266,0.3453933370908586
22737,15/9-F-11 B,4233.3,8.672,27.913,2.1959999999999997,0.193,1.3537624030671995,1.0200711035338412,1.5146274324113402,1.3761387920804813
24398,15/9-F-11 B,4399.4,8.703,40.228,2.608,0.20199999999999999,0.2242740142942577,0.1942367487238292,0.4560622244549514,0.27943878828702046
16054,15/9-F-11 B,3565.0,8.625,62.738,2.37,0.19899999999999998,0.5939502952639875,0.6093808374919716,0.7081658578555401,0.6406801532776651
6101,15/9-F-1 C,3429.9,8.6383,59.7751,2.4165,0.214,0.1126385106184925,0.07536444637328504,0.38890010835423694,0.20609694470656656
6151,15/9-F-1 C,3434.9,8.687000000000001,54.2968,2.4011,0.2338,-0.06610796423578892,-0.0337174378325367,-0.1464234563803584,-0.1092996023011249
24417,15/9-F-11 B,4401.3,8.75,36.358000000000004,2.569,0.188,0.2035767749779726,0.17026171539495738,0.355834495884936,0.23451728351268664
813,15/9-F-1 A,3512.3,8.6719,38.7167,2.6412,0.0803,0.6048414076119818,0.5719649085388394,0.6465017500316119,0.6287158052050055
13973,15/9-F-11 B,3356.9,8.557,92.814,2.568,0.243,0.3042750504771283,0.31827208021162695,0.3328422669943515,0.2975416678181598
23154,15/9-F-11 B,4275.0,8.625,24.71,2.169,0.19,1.5541013321212365,1.00650882777529,1.8370957901759872,1.5666142382391173
6102,15/9-F-1 C,3430.0,8.6383,59.6792,2.4106,0.2163,0.1275906770079578,0.07885540297976734,0.36674038984291046,0.20555620569391722
10519,15/9-F-1 C,3871.7,8.5243,45.8317,2.2195,0.2376,0.44997181056689256,0.42795650223875614,0.43410562246242257,0.4222778761641805
8499,15/9-F-1 C,3669.7,8.5243,37.8873,2.2782,0.2293,0.30788095598825316,0.41825156009669323,0.6822985421079366,0.4923412532549744
1212,15/9-F-1 A,3552.2,8.6015,27.948,2.3922,0.1818,-0.11793105556385161,-0.1173616383039613,-0.19818483141856288,-0.1348367804939138
